Accuracy: 0.9896
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            1 |            1 |         2.52 |       3.6913 |        0.00% |     1.00e-04 |
|            1 |           50 |         8.41 |       2.4653 |       20.00% |     1.00e-04 |
|            1 |          100 |        13.92 |       0.7646 |       80.00% |     1.00e-04 |
|            1 |          150 |        19.47 |       2.9010 |       40.00% |     1.00e-04 |
|            1 |          200 |        24.98 |       0.1943 |      100.00% |     1.00e-04 |
|            1 |          250 |        30.52 |       1.1287 |       80.00% |     1.00e-04 |
|            1 |          300 |        36.05 |       0.8872 |       60.00% |     1.00e-04 |
|            1 |          350 |        41.64 |       1.8873 |       40.00% |     1.00e-04 |
|            1 |          400 |        47.15 |       1.6233 |       40.00% |     1.00e-04 |
|            1 |          450 |        52.59 |       1.9934 |       40.00% |     1.00e-04 |
|            1 |          500 |        58.00 |       1.2143 |       60.00% |     1.00e-04 |
|            1 |          550 |        63.13 |       1.4488 |       40.00% |     1.00e-04 |
|            1 |          600 |        68.11 |       1.2311 |       60.00% |     1.00e-04 |
|            1 |          650 |        73.05 |       0.7411 |       80.00% |     1.00e-04 |
|            1 |          700 |        77.99 |       0.6996 |       60.00% |     1.00e-04 |
|            1 |          750 |        82.95 |       1.2096 |       60.00% |     1.00e-04 |
|            1 |          800 |        87.94 |       1.2689 |       60.00% |     1.00e-04 |
|            1 |          850 |        92.86 |       1.3473 |       40.00% |     1.00e-04 |
|            1 |          900 |        97.76 |       1.0360 |       60.00% |     1.00e-04 |
|            1 |          950 |       102.64 |       1.1395 |       80.00% |     1.00e-04 |
|            1 |         1000 |       107.53 |       0.6114 |       80.00% |     1.00e-04 |
|            1 |         1050 |       112.46 |       0.4238 |       80.00% |     1.00e-04 |
|            1 |         1100 |       117.37 |       1.2276 |       60.00% |     1.00e-04 |
|            1 |         1150 |       122.27 |       0.0004 |      100.00% |     1.00e-04 |
|            1 |         1200 |       127.15 |       1.0522 |       60.00% |     1.00e-04 |
|            1 |         1250 |       132.04 |       0.6638 |       80.00% |     1.00e-04 |
|            1 |         1300 |       136.92 |       1.0326 |       80.00% |     1.00e-04 |
|            1 |         1350 |       141.81 |       0.2655 |       80.00% |     1.00e-04 |
|            1 |         1400 |       146.69 |       0.3166 |       80.00% |     1.00e-04 |
|            1 |         1450 |       151.56 |       0.9385 |       40.00% |     1.00e-04 |
|            1 |         1500 |       156.44 |       0.4772 |       80.00% |     1.00e-04 |
|            1 |         1550 |       161.38 |       0.0172 |      100.00% |     1.00e-04 |
|            1 |         1600 |       166.44 |       0.2752 |       80.00% |     1.00e-04 |
|            1 |         1650 |       171.43 |       0.0975 |      100.00% |     1.00e-04 |
|            1 |         1700 |       176.39 |       0.3008 |       80.00% |     1.00e-04 |
|            1 |         1750 |       181.30 |       0.4504 |      100.00% |     1.00e-04 |
|            1 |         1800 |       186.21 |       1.8788 |       60.00% |     1.00e-04 |
|            1 |         1850 |       191.11 |       0.0582 |      100.00% |     1.00e-04 |
|            1 |         1900 |       195.98 |       0.4710 |       80.00% |     1.00e-04 |
|            1 |         1950 |       200.86 |       0.8380 |       80.00% |     1.00e-04 |
|            1 |         2000 |       205.75 |       0.1574 |       80.00% |     1.00e-04 |
|            1 |         2050 |       210.65 |       0.9634 |       80.00% |     1.00e-04 |
|            1 |         2100 |       215.61 |       0.2856 |      100.00% |     1.00e-04 |
|            1 |         2150 |       220.59 |       0.0051 |      100.00% |     1.00e-04 |
|            1 |         2200 |       225.45 |       0.6339 |       60.00% |     1.00e-04 |
|            1 |         2250 |       230.34 |       1.2472 |       60.00% |     1.00e-04 |
|            1 |         2300 |       235.24 |       0.0366 |      100.00% |     1.00e-04 |
|            1 |         2350 |       240.16 |       0.4860 |       80.00% |     1.00e-04 |
|            1 |         2400 |       245.03 |       0.0673 |      100.00% |     1.00e-04 |
|            1 |         2450 |       249.94 |       0.6268 |       60.00% |     1.00e-04 |
|            1 |         2500 |       254.82 |       1.0381 |       60.00% |     1.00e-04 |
|            1 |         2550 |       259.71 |       0.4008 |      100.00% |     1.00e-04 |
|            1 |         2600 |       264.61 |       0.0159 |      100.00% |     1.00e-04 |
|            1 |         2650 |       269.50 |       0.0019 |      100.00% |     1.00e-04 |
|            1 |         2700 |       274.40 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         2750 |       279.29 |       0.1814 |      100.00% |     1.00e-04 |
|            1 |         2800 |       284.20 |       0.0058 |      100.00% |     1.00e-04 |
|            1 |         2850 |       289.09 |       0.0332 |      100.00% |     1.00e-04 |
|            1 |         2900 |       294.00 |       1.2827 |       80.00% |     1.00e-04 |
|            1 |         2950 |       298.93 |       0.6136 |       80.00% |     1.00e-04 |
|            1 |         3000 |       303.83 |       0.0335 |      100.00% |     1.00e-04 |
|            1 |         3050 |       308.79 |       1.0822 |       80.00% |     1.00e-04 |
|            1 |         3100 |       313.84 |       0.0027 |      100.00% |     1.00e-04 |
|            1 |         3150 |       318.81 |       0.4629 |       80.00% |     1.00e-04 |
|            1 |         3200 |       323.69 |       0.4252 |       80.00% |     1.00e-04 |
|            1 |         3250 |       328.58 |       0.0021 |      100.00% |     1.00e-04 |
|            1 |         3300 |       333.46 |       0.0012 |      100.00% |     1.00e-04 |
|            1 |         3350 |       338.34 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3400 |       343.23 |       0.3318 |       80.00% |     1.00e-04 |
|            1 |         3450 |       348.15 |       0.0003 |      100.00% |     1.00e-04 |
|            1 |         3500 |       353.05 |       0.4177 |       80.00% |     1.00e-04 |
|            1 |         3550 |       358.05 |       0.0118 |      100.00% |     1.00e-04 |
|            1 |         3600 |       363.03 |       0.2482 |       80.00% |     1.00e-04 |
|            1 |         3650 |       367.96 |       0.0002 |      100.00% |     1.00e-04 |
|            1 |         3700 |       372.92 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3750 |       378.04 |       2.1333 |       60.00% |     1.00e-04 |
|            1 |         3800 |       383.12 |       0.0008 |      100.00% |     1.00e-04 |
|            1 |         3850 |       388.15 |       0.4926 |       80.00% |     1.00e-04 |
|            1 |         3900 |       393.13 |       0.0003 |      100.00% |     1.00e-04 |
|            1 |         3950 |       398.21 |       0.6094 |       80.00% |     1.00e-04 |
|            1 |         4000 |       403.27 |       0.2833 |      100.00% |     1.00e-04 |
|            1 |         4050 |       408.44 |       1.4760 |       60.00% |     1.00e-04 |
|            1 |         4100 |       413.50 |       0.0064 |      100.00% |     1.00e-04 |
|            1 |         4150 |       418.53 |       0.0027 |      100.00% |     1.00e-04 |
|            1 |         4200 |       423.56 |       0.0025 |      100.00% |     1.00e-04 |
|            1 |         4250 |       428.51 |       0.8283 |       80.00% |     1.00e-04 |
|            1 |         4300 |       433.48 |       0.0244 |      100.00% |     1.00e-04 |
|            1 |         4350 |       438.45 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         4400 |       443.43 |       0.0024 |      100.00% |     1.00e-04 |
|            1 |         4450 |       448.41 |       0.0175 |      100.00% |     1.00e-04 |
|            1 |         4500 |       453.38 |       0.0750 |      100.00% |     1.00e-04 |
|            1 |         4550 |       458.33 |       0.0008 |      100.00% |     1.00e-04 |
|            2 |         4600 |       463.35 |       0.0623 |      100.00% |     1.00e-04 |
|            2 |         4650 |       468.31 |       0.0720 |      100.00% |     1.00e-04 |
|            2 |         4700 |       473.23 |       0.6118 |       60.00% |     1.00e-04 |
|            2 |         4750 |       478.16 |       0.1000 |      100.00% |     1.00e-04 |
|            2 |         4800 |       483.04 |       0.0021 |      100.00% |     1.00e-04 |
|            2 |         4850 |       487.98 |       0.2209 |       80.00% |     1.00e-04 |
|            2 |         4900 |       492.90 |       0.1238 |      100.00% |     1.00e-04 |
|            2 |         4950 |       497.80 |       0.6674 |       80.00% |     1.00e-04 |
|            2 |         5000 |       502.93 |       0.0206 |      100.00% |     1.00e-04 |
|            2 |         5050 |       507.92 |       0.0016 |      100.00% |     1.00e-04 |
|            2 |         5100 |       512.89 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5150 |       517.84 |       0.0537 |      100.00% |     1.00e-04 |
|            2 |         5200 |       522.83 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5250 |       527.78 |       0.0039 |      100.00% |     1.00e-04 |
|            2 |         5300 |       532.72 |       0.2007 |      100.00% |     1.00e-04 |
|            2 |         5350 |       537.66 |       0.0023 |      100.00% |     1.00e-04 |
|            2 |         5400 |       542.64 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5450 |       547.62 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5500 |       552.59 |       0.0029 |      100.00% |     1.00e-04 |
|            2 |         5550 |       557.53 |       0.0002 |      100.00% |     1.00e-04 |
|            2 |         5600 |       562.56 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5650 |       567.47 |       0.5543 |       80.00% |     1.00e-04 |
|            2 |         5700 |       572.41 |       0.0019 |      100.00% |     1.00e-04 |
|            2 |         5750 |       577.38 |       0.0010 |      100.00% |     1.00e-04 |
|            2 |         5800 |       582.25 |       0.0015 |      100.00% |     1.00e-04 |
|            2 |         5850 |       587.36 |       0.0042 |      100.00% |     1.00e-04 |
|            2 |         5900 |       592.39 |       0.1195 |      100.00% |     1.00e-04 |
|            2 |         5950 |       597.41 |       0.0036 |      100.00% |     1.00e-04 |
|            2 |         6000 |       602.43 |       0.0046 |      100.00% |     1.00e-04 |
|            2 |         6050 |       607.53 |       0.0011 |      100.00% |     1.00e-04 |
|            2 |         6100 |       612.51 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         6150 |       617.49 |       0.0006 |      100.00% |     1.00e-04 |
|            2 |         6200 |       622.44 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6250 |       627.40 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6300 |       632.33 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6350 |       637.32 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         6400 |       642.26 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         6450 |       647.21 |       0.0001 |      100.00% |     1.00e-04 |
|            2 |         6500 |       652.12 |       0.0251 |      100.00% |     1.00e-04 |
|            2 |         6550 |       657.05 |       0.0005 |      100.00% |     1.00e-04 |
|            2 |         6600 |       661.95 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6650 |       666.90 |       0.2116 |       80.00% |     1.00e-04 |
|            2 |         6700 |       671.87 |       0.0012 |      100.00% |     1.00e-04 |
|            2 |         6750 |       676.80 |       0.2181 |      100.00% |     1.00e-04 |
|            2 |         6800 |       681.71 |       0.0042 |      100.00% |     1.00e-04 |
|            2 |         6850 |       686.61 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6900 |       691.51 |       0.0251 |      100.00% |     1.00e-04 |
|            2 |         6950 |       696.41 |       0.0286 |      100.00% |     1.00e-04 |
|            2 |         7000 |       701.42 |       1.4688 |       80.00% |     1.00e-04 |
|            2 |         7050 |       706.35 |       0.0011 |      100.00% |     1.00e-04 |
|            2 |         7100 |       711.31 |       0.0029 |      100.00% |     1.00e-04 |
|            2 |         7150 |       716.32 |       0.0031 |      100.00% |     1.00e-04 |
|            2 |         7200 |       721.31 |       0.0001 |      100.00% |     1.00e-04 |
|            2 |         7250 |       726.32 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7300 |       731.25 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7350 |       736.29 |       0.0001 |      100.00% |     1.00e-04 |
|            2 |         7400 |       741.24 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7450 |       746.20 |       0.0352 |      100.00% |     1.00e-04 |
|            2 |         7500 |       751.18 |       0.0132 |      100.00% |     1.00e-04 |
|            2 |         7550 |       756.13 |       0.7401 |       80.00% |     1.00e-04 |
|            2 |         7600 |       761.12 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7650 |       766.09 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7700 |       771.04 |       0.0729 |      100.00% |     1.00e-04 |
|            2 |         7750 |       776.09 |       0.0755 |      100.00% |     1.00e-04 |
|            2 |         7800 |       781.05 |       0.0052 |      100.00% |     1.00e-04 |
