Accuracy: 0.9812

|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            1 |            1 |         2.20 |       4.3733 |        0.00% |     1.00e-04 |
|            1 |           50 |         7.37 |       2.6722 |       60.00% |     1.00e-04 |
|            1 |          100 |        12.22 |       0.3897 |       80.00% |     1.00e-04 |
|            1 |          150 |        17.08 |       2.5841 |       20.00% |     1.00e-04 |
|            1 |          200 |        21.93 |       2.0907 |       40.00% |     1.00e-04 |
|            1 |          250 |        26.79 |       1.3657 |       40.00% |     1.00e-04 |
|            1 |          300 |        31.65 |       2.1063 |       40.00% |     1.00e-04 |
|            1 |          350 |        36.52 |       0.2415 |      100.00% |     1.00e-04 |
|            1 |          400 |        41.38 |       1.7893 |       40.00% |     1.00e-04 |
|            1 |          450 |        46.23 |       0.5142 |       80.00% |     1.00e-04 |
|            1 |          500 |        51.08 |       1.1682 |       40.00% |     1.00e-04 |
|            1 |          550 |        55.94 |       1.0096 |       60.00% |     1.00e-04 |
|            1 |          600 |        60.79 |       1.1404 |       60.00% |     1.00e-04 |
|            1 |          650 |        65.64 |       1.1887 |       60.00% |     1.00e-04 |
|            1 |          700 |        70.46 |       1.8537 |       40.00% |     1.00e-04 |
|            1 |          750 |        75.27 |       1.0177 |       60.00% |     1.00e-04 |
|            1 |          800 |        80.09 |       0.7380 |       80.00% |     1.00e-04 |
|            1 |          850 |        84.92 |       0.7841 |       60.00% |     1.00e-04 |
|            1 |          900 |        89.74 |       0.5377 |       80.00% |     1.00e-04 |
|            1 |          950 |        94.55 |       0.7222 |       80.00% |     1.00e-04 |
|            1 |         1000 |        99.38 |       0.5268 |       80.00% |     1.00e-04 |
|            1 |         1050 |       104.24 |       0.0403 |      100.00% |     1.00e-04 |
|            1 |         1100 |       109.09 |       0.8708 |       80.00% |     1.00e-04 |
|            1 |         1150 |       113.91 |       1.1506 |       40.00% |     1.00e-04 |
|            1 |         1200 |       118.73 |       0.2712 |       80.00% |     1.00e-04 |
|            1 |         1250 |       123.59 |       0.9163 |       80.00% |     1.00e-04 |
|            1 |         1300 |       128.44 |       1.2487 |       80.00% |     1.00e-04 |
|            1 |         1350 |       133.26 |       0.9234 |       80.00% |     1.00e-04 |
|            1 |         1400 |       138.11 |       0.9488 |       80.00% |     1.00e-04 |
|            1 |         1450 |       142.94 |       0.1014 |      100.00% |     1.00e-04 |
|            1 |         1500 |       147.77 |       0.0161 |      100.00% |     1.00e-04 |
|            1 |         1550 |       152.60 |       0.1780 |      100.00% |     1.00e-04 |
|            1 |         1600 |       157.43 |       0.1517 |      100.00% |     1.00e-04 |
|            1 |         1650 |       162.25 |       0.4740 |       80.00% |     1.00e-04 |
|            1 |         1700 |       167.08 |       0.2232 |      100.00% |     1.00e-04 |
|            1 |         1750 |       171.91 |       1.1203 |       60.00% |     1.00e-04 |
|            1 |         1800 |       176.75 |       0.2422 |       80.00% |     1.00e-04 |
|            1 |         1850 |       181.57 |       0.5748 |       80.00% |     1.00e-04 |
|            1 |         1900 |       186.40 |       0.3568 |       80.00% |     1.00e-04 |
|            1 |         1950 |       191.22 |       0.5414 |       80.00% |     1.00e-04 |
|            1 |         2000 |       196.06 |       0.2822 |       80.00% |     1.00e-04 |
|            1 |         2050 |       200.88 |       1.9700 |       40.00% |     1.00e-04 |
|            1 |         2100 |       205.70 |       0.0356 |      100.00% |     1.00e-04 |
|            1 |         2150 |       210.53 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         2200 |       215.36 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         2250 |       220.19 |       0.0032 |      100.00% |     1.00e-04 |
|            1 |         2300 |       225.03 |       1.3015 |       80.00% |     1.00e-04 |
|            1 |         2350 |       229.85 |       0.0356 |      100.00% |     1.00e-04 |
|            1 |         2400 |       234.67 |       0.4983 |       80.00% |     1.00e-04 |
|            1 |         2450 |       239.52 |       0.1965 |      100.00% |     1.00e-04 |
|            1 |         2500 |       244.34 |       0.1381 |      100.00% |     1.00e-04 |
|            1 |         2550 |       249.16 |       0.3302 |       80.00% |     1.00e-04 |
|            1 |         2600 |       254.00 |       0.0910 |      100.00% |     1.00e-04 |
|            1 |         2650 |       258.84 |       0.0013 |      100.00% |     1.00e-04 |
|            1 |         2700 |       263.66 |       0.1221 |      100.00% |     1.00e-04 |
|            1 |         2750 |       268.49 |       0.0116 |      100.00% |     1.00e-04 |
|            1 |         2800 |       273.32 |       0.0020 |      100.00% |     1.00e-04 |
|            1 |         2850 |       278.15 |       0.0003 |      100.00% |     1.00e-04 |
|            1 |         2900 |       282.98 |       0.4054 |       80.00% |     1.00e-04 |
|            1 |         2950 |       287.82 |       0.4204 |       80.00% |     1.00e-04 |
|            1 |         3000 |       292.65 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3050 |       297.49 |       1.2139 |       60.00% |     1.00e-04 |
|            1 |         3100 |       302.31 |       0.0928 |      100.00% |     1.00e-04 |
|            1 |         3150 |       307.14 |       0.0510 |      100.00% |     1.00e-04 |
|            1 |         3200 |       311.97 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3250 |       316.80 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3300 |       321.62 |       0.5320 |       80.00% |     1.00e-04 |
|            1 |         3350 |       326.45 |       0.0197 |      100.00% |     1.00e-04 |
|            1 |         3400 |       331.28 |       0.0147 |      100.00% |     1.00e-04 |
|            1 |         3450 |       336.11 |       0.0270 |      100.00% |     1.00e-04 |
|            1 |         3500 |       340.94 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         3550 |       345.78 |       0.5612 |       80.00% |     1.00e-04 |
|            1 |         3600 |       350.62 |       0.0030 |      100.00% |     1.00e-04 |
|            1 |         3650 |       355.46 |       0.0887 |      100.00% |     1.00e-04 |
|            1 |         3700 |       360.29 |       0.0245 |      100.00% |     1.00e-04 |
|            1 |         3750 |       365.12 |       0.0225 |      100.00% |     1.00e-04 |
|            1 |         3800 |       369.96 |       0.0064 |      100.00% |     1.00e-04 |
|            1 |         3850 |       374.81 |       0.0062 |      100.00% |     1.00e-04 |
|            1 |         3900 |       379.65 |       0.0147 |      100.00% |     1.00e-04 |
|            1 |         3950 |       384.48 |       0.0899 |      100.00% |     1.00e-04 |
|            1 |         4000 |       389.33 |       0.0000 |      100.00% |     1.00e-04 |
|            1 |         4050 |       394.16 |       0.0210 |      100.00% |     1.00e-04 |
|            1 |         4100 |       399.01 |       0.1492 |      100.00% |     1.00e-04 |
|            1 |         4150 |       403.85 |       0.1614 |       80.00% |     1.00e-04 |
|            1 |         4200 |       408.68 |       0.0344 |      100.00% |     1.00e-04 |
|            2 |         4250 |       413.54 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         4300 |       418.36 |       0.1309 |      100.00% |     1.00e-04 |
|            2 |         4350 |       423.18 |       0.2284 |      100.00% |     1.00e-04 |
|            2 |         4400 |       428.00 |       0.7897 |       80.00% |     1.00e-04 |
|            2 |         4450 |       432.84 |       0.0015 |      100.00% |     1.00e-04 |
|            2 |         4500 |       437.68 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         4550 |       442.51 |       0.0012 |      100.00% |     1.00e-04 |
|            2 |         4600 |       447.36 |       0.1771 |      100.00% |     1.00e-04 |
|            2 |         4650 |       452.20 |       0.0004 |      100.00% |     1.00e-04 |
|            2 |         4700 |       457.02 |       0.6172 |       80.00% |     1.00e-04 |
|            2 |         4750 |       461.85 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         4800 |       466.68 |       0.1048 |      100.00% |     1.00e-04 |
|            2 |         4850 |       471.51 |       0.2828 |       80.00% |     1.00e-04 |
|            2 |         4900 |       476.34 |       0.0841 |      100.00% |     1.00e-04 |
|            2 |         4950 |       481.17 |       0.0840 |      100.00% |     1.00e-04 |
|            2 |         5000 |       485.99 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5050 |       490.84 |       0.0800 |      100.00% |     1.00e-04 |
|            2 |         5100 |       495.68 |       0.0116 |      100.00% |     1.00e-04 |
|            2 |         5150 |       500.51 |       0.0097 |      100.00% |     1.00e-04 |
|            2 |         5200 |       505.36 |       0.7600 |       80.00% |     1.00e-04 |
|            2 |         5250 |       510.27 |       0.3008 |       80.00% |     1.00e-04 |
|            2 |         5300 |       515.10 |       0.0017 |      100.00% |     1.00e-04 |
|            2 |         5350 |       519.94 |       0.0002 |      100.00% |     1.00e-04 |
|            2 |         5400 |       524.77 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5450 |       529.59 |       0.0014 |      100.00% |     1.00e-04 |
|            2 |         5500 |       534.45 |       0.0300 |      100.00% |     1.00e-04 |
|            2 |         5550 |       539.27 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5600 |       544.10 |       0.0123 |      100.00% |     1.00e-04 |
|            2 |         5650 |       548.96 |       0.0773 |      100.00% |     1.00e-04 |
|            2 |         5700 |       553.79 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         5750 |       558.62 |      -0.0000 |      100.00% |     1.00e-04 |
|            2 |         5800 |       563.45 |       0.0572 |      100.00% |     1.00e-04 |
|            2 |         5850 |       568.28 |       0.0006 |      100.00% |     1.00e-04 |
|            2 |         5900 |       573.11 |       0.0753 |      100.00% |     1.00e-04 |
|            2 |         5950 |       577.95 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6000 |       582.78 |       0.4971 |       80.00% |     1.00e-04 |
|            2 |         6050 |       587.62 |       0.0019 |      100.00% |     1.00e-04 |
|            2 |         6100 |       592.46 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         6150 |       597.29 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6200 |       602.13 |       0.0019 |      100.00% |     1.00e-04 |
|            2 |         6250 |       606.97 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6300 |       611.81 |       0.0327 |      100.00% |     1.00e-04 |
|            2 |         6350 |       616.63 |       0.0036 |      100.00% |     1.00e-04 |
|            2 |         6400 |       621.48 |       0.0685 |      100.00% |     1.00e-04 |
|            2 |         6450 |       626.31 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6500 |       631.15 |       0.0512 |      100.00% |     1.00e-04 |
|            2 |         6550 |       635.98 |       0.0382 |      100.00% |     1.00e-04 |
|            2 |         6600 |       640.82 |       0.0639 |      100.00% |     1.00e-04 |
|            2 |         6650 |       645.66 |       0.0016 |      100.00% |     1.00e-04 |
|            2 |         6700 |       650.50 |       0.0024 |      100.00% |     1.00e-04 |
|            2 |         6750 |       655.34 |       0.0040 |      100.00% |     1.00e-04 |
|            2 |         6800 |       660.17 |       0.0001 |      100.00% |     1.00e-04 |
|            2 |         6850 |       665.01 |       0.0002 |      100.00% |     1.00e-04 |
|            2 |         6900 |       669.85 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         6950 |       674.69 |       0.0018 |      100.00% |     1.00e-04 |
|            2 |         7000 |       679.53 |       0.0003 |      100.00% |     1.00e-04 |
|            2 |         7050 |       684.37 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7100 |       689.21 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7150 |       694.05 |       0.0026 |      100.00% |     1.00e-04 |
|            2 |         7200 |       698.88 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7250 |       703.73 |       0.1520 |      100.00% |     1.00e-04 |
|            2 |         7300 |       708.56 |       0.0315 |      100.00% |     1.00e-04 |
|            2 |         7350 |       713.40 |       0.0001 |      100.00% |     1.00e-04 |
|            2 |         7400 |       718.24 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7450 |       723.07 |       0.0089 |      100.00% |     1.00e-04 |
|            2 |         7500 |       727.91 |       0.0019 |      100.00% |     1.00e-04 |
|            2 |         7550 |       732.75 |       0.0010 |      100.00% |     1.00e-04 |
|            2 |         7600 |       737.62 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7650 |       742.46 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7700 |       747.30 |       0.0064 |      100.00% |     1.00e-04 |
|            2 |         7750 |       752.15 |       0.0000 |      100.00% |     1.00e-04 |
|            2 |         7800 |       756.98 |       0.0000 |      100.00% |     1.00e-04 |
